a;un
defense;defensa
degree;desacuerdo
democrat;democrata
democratic;democratico
describe;desribir
design;diseño
despite;a pesar de 
detail;detalle
determine;determinar
develop;desarollar
development;desarollo
die;morir
difference;diferencia
different;diferente
difficult;dificil
dinner;cena
direction;direccion
director;director
discover;descubrir
discuss;discutir
discussion;discucion
disease;enfermedad
do;hacer
doctor;doctor
dog;peroro
door;puerta
down;abajo
draw;dibujar
dream;sueño
drive;manejar
drop;soltar
drug;droga
during;durante
each;cada
early;temprano
east;este
easy,facil
eat;comer
economic;economico
economy;economia
edge;borde
education;eduacacion
effect;efecto
effort;esfuerzo
eight;ocho
either;ya sea
election;election
else;mas
employee;empleado
end;fin
energy;energia
enjoy;disfrutar
enough;suficiente
enter;entrar
entire;todo
environment;ambiente
environmental;ambiental
especially;especialmente
establish;entablecer
even;incluso
evening;noche
event;evento
ever;nunca
every;cada
everybody;todos
everyone;todo el mundo
everything;todo
evidence;evidencia
exactly;exactamente
example;ejemplo
executive;ejecutivo
exist;existe
expect;esperar
experience;experiencia
expert;experto
explain;explique
eye;ojo
face;cara
fact;hecho
factor;factor
fail;fallar
fall;otoño
family;familia
far;lejos
fast;rapido
father;padre
fear;miedo
federal;federal
feel;sensacion
feeling;sensacion
few;pocos
field;campo
fight;lucha
figure;figura
fill;llenar
film;pelicula
final;final
finally;finalmente
financial;financiero
find;encontrar
fine;bueno
finger;dedo
finish;terminar
fire;fuego
firm;firma
first;primero
fish;pescado
five;cinco
floor;piso
fly;volar
focus;atencion
follow;seguir
food;comida
foot;pie
for;para
force;fuerza
foreign;exterior
forget;olvidar
form;forma
former;antiguo
forward;adelante
four;cuatro
free;gratis
friend;amigos
from;de
front;frente
full;completo
fund;fondo
future;futuro
game;juego
garden;jardin
gas;gas
general;general
generation;generacion
get;obtener
girl;niña
give;dar
glass;vaso
go;ir
goal;gol
good;bueno
government;gobierno
great;estupendo
green;verde
ground;suelo
group;grupo
grow;crecer
growth;crecimiento
guess;adivinar
gun;pistola
guy;chico
hair;cabello
half;mitad
hand;mano
hang;colgar
happen;ocurrir
happy;feliz
hard;duro
have;tener
he;el
head;cabeza
health;salud
hear;cabeza
heart;corazon
heat;calor
heavy;pesado
help;ayuda
her;su
here;aqui
herself;si misma
high;alyo
him;el
himself;el mismo
his;su
history;historia
hit;golpear
hold;sostener
home;casa
hope;esperanza
hospital;hospital
hot;caliente
hotel;hotel
hour;horag
house;casa
how;como
however;sin embargo
huge;enorme
human;humano
hundred;cien
husband;marido
I;yo
idea;idea
identify;identificar
if;si
image;imagen
imagine;imagina
impact;impacto
important;importante
improve;mejorar
in;en
include;incluir
including;incluso
increase;incrementar
indeed;en efecto
indicate;indicar
individual;individual
industry;industria
information;informacion
inside;dentro
instead;en lugar
institution;institucion
interest;interesar
interesting;interesante
international;internacional
interview;entrevista
into;dentro
investment;inversion
involve;involucrar
issue;problema
it;eso
item;it
its;sus
itself;si mismo
job;trabajo
join;unirse
just;solo
keep;mantener
key;llave
kid;niño
kill;matar
kind;tipo
kitchen;cocina
know;saber
knowledge;conocimiento
land;isla
language;lenguaje
large;largo
last;ultimo
late;tarde
later;luego
laugh;risa
law;ley
lawyer;abogado
lay;laico
lead;dirigir
leader;lider
learn;aprender
least;menos
leave;salir
left;izquierda
leg;pierna
legal;legal
less;menos
let;dejar
letter;carta
level;nivel
lie;mentira
life;vida
light;ligero
like;me gusta
likely;probable
line;linea
list;lista
listen;escucha
little;pequeño
live;vivir
local;local
long;largo
look;mira
lose;perder
loss;perdida
lot;mucho
love;amor
low;abajo
machine;maquina
magazine;revista
main;principal
maintain;mantener
major;mayor
majority;mayoria
make;hacer
man;hombre
manage;gestionar
management;administracion
manager;gerente
many;mucho
market;mercado
marriage;matrimonio
material;material
matter;importar
may;mayo
maybe;tal vez
me;yo
mean;media
measure;medida
media;medios de comunicacion
medical;medico
meet;reunirse
meeting;reunion
member;miembro
memory;memoria
mention;mencionar
message;mensaje
method;metodo
middle;medio
might;podria
military;militar
million;millon
mind;mente
minute;minuto
miss;perder
mission;mision
model;modelo
modern;moderno
moment;momento
money;dinero
month;mes
more;mas
morning;mañana
most;mas
mother;madre
mouth;boca
move;mover
movement;movimiento
movie;pelicula
Mr;señor
Mrs;señora
much;mucho
music;musica
must;debe
my;mi
myself;mi mismo
name;nombre
nation;nacion
national;nacional
natural;natural
nature;naturaleza
near;cerca
nearly;casi
necessary;necesario
need;necesitar
network;red
never;nunca
new;nuevo
news;noticas
newspaper;periodico
next;siguiente
nice;bonito
night;noche
no;no
none;ninguno
nor;ni
north;norte
not;no
note;nota
nothing;nada
notice;noticia
now;ahora
n't;Nuevo Testamento
number;numero
occur;ocurrir
of;de
off;apagado
offer;oferta
office;oficina
officer;oficial
official;oficial
often;a menudo
oh;oh
oil;aceite
ok;ok
old;antiguo
on;en
once;una vez
one;uno
only;solamente
onto;sobre
open;abierto
operation;operacion
opportunity;oportunidad
option;opcion
or;o
order;orden
organization;organizacion
other;otro
others;otros
our;nuestro
out;fuera
outside;fuera de
over;encima
own;propio
owner;propietario
page;pagina
pain;dolor
painting;pintura
paper;papel
parent;padre
part;parte
participant;participe
particular;especial
particularly;particularmente
partner;compañero
party;fiesta
pass;pasar
past;pasado
patient;paciente
pattern;patron
pay;paga
peace;paz
people;gente
per;por
perform;realizar
performance;actuacion
perhaps;quizas
period;perodio
person;persona
personal;personal
phone;telefono
physical;fisico
pick;recoger
picture;imagen
piece;pieza
place;lugar
plan;plan
plant;planta
play;jugar
player;jugador
point;punto
police;policia
policy;politico
political;politica
politics;politicos
poor;pobre
popular;popular
population;poblacion
position;posicion
positive;positivo
possible;posible
power;poder
practice;practica
prepare;preparar
present;presente
president;presidente
pressure;presion
pretty;bonita
prevent;evitar
price;precio
private;privado
probably;probablemente
problem;problema
process;proceso
produce;produce
product;producto
production;produccion
professional;profesional
professor;profesor
program;programa
project;proyecto
property;propiedad
protect;proteger
prove;probar
provide;proporcionar
public;publico
pull;halar
purpose;proposito
push;empujar
put;poner
quality;calidad
question;pregunta
quickly;con rapidez
quite;bastante
race;carrera
radio;radio
raise;aumento
range;rango
rate;tarifa
rather,mas bien
reach;alcanzar
read;leer
ready;listo
real;real
reality;realidad
realize;darse cuenta de
really;de verdad
reason;razon
receive;recibir
recent;reciente
recently;recientemente
recognize;reconocer
record;grabar
red;rojo
reduce;reducir
reflect;reflejar
region;region
relate;relacionar
relationship;relacion
religious;religioso
remain;permanecer
remember;recordar
remove;retirar
report;informar
represent;representar
republican;republicano
require;exigir
research;investigacion
resource;recurso
respond;responder
response;respuesta
responsibility;respondabilidad
rest;descanso
result;resultado
return;retornar
reveal;revelar
rich;rico
right;derecho
rise;subir
risk;riesgo
road;carretera
rock;rock
role;papel
room;habitacion
rule;regla
run;correr
safe;seguro
same;mismo
save;guardar
say;decir
scene;escena
school;colegio
science;ciencia
scientist;cientifico
score;puntuacion
sea;mar
season;temporada
seat;asiento
second;segundo
section;seccion
security;seguridad
see;ver
seek;buscar
seem;parecer
sell;vender
send;enviar
senior;mayor
sense;sentido
series;series
serious;grave
serve;servir
service;servicio
set;conjunto
seven;siete
several;varios
sex;sexo
sexual;sexual
shake;sacudir
share;compartir
she;ella
shoot;disparar
short;corto
shot;disparar
should;deberia
shoulder;hombro
show;espectaculo
side;lado
sign;firmar
significant;signifitivo
similar;similar
simple;sencillo
simply;simplemente
since;ya que
sing;canta
single;soltero
sister
sit
site
situation
six
size
skill
skin
small
smile
so
social
society
soldier
some
somebody
someone
something
sometimes
son
song
soon
sort
sound
source
south
southern
space
speak
special
specific
speech
spend
sport
spring
staff
stage
stand
standard
star
start
state
statement
station
stay
step
still
stock
stop
store
story
strategy
street
strong
structure
student
study
stuff
style
subject
success
successful
such
suddenly
suffer
suggest
summer
support
sure
surface
system
table
take
talk
task
tax
teach
teacher
team
technology
television
tell
ten
tend
term
test
than
thank
that
the
their
them
themselves
then
theory
there
these
they
thing
think
third
this
those
though
thought
thousand
threat
three
through
throughout
throw
thus
time
to
today
together
tonight
too
top
total
tough
toward
town
trade
traditional
training
travel
treat
treatment
tree
trial
trip
trouble
true
truth
try
turn
TV
two
type
under
understand
unit
until
up
upon
us
use
usually
value
various
very
victim
view
violence
visit
voice
vote
wait
walk
wall
want
war
watch
water
way
we
weapon
wear
week
weight
well
west
western
what
whatever
when
where
whether
which
while
white
who
whole
whom
whose
why
wide
wife
will
win
wind
window
wish
with
within
without
woman
wonder
word
work
worker
world
worry
would
write
writer
wrong
yard
yeah
year
yes
yet
you;tu
young
your
yourself
